,team,year,player,page,pos,height,weight,birth_date,years_experience
7,HOU,2021,James Harden,/players/h/hardeja01.html,PG,6-5,220,"August 26, 1989",11
8,HOU,2021,Danuel House Jr.,/players/h/houseda01.html,SF,6-6,220,"June 7, 1993",4
9,HOU,2021,DaQuan Jeffries,/players/j/jeffrda01.html,SG,6-5,230,"August 30, 1997",1
10,HOU,2021,Mason Jones,/players/j/jonesma05.html,SG,6-4,200,"July 21, 1998",R
11,HOU,2021,Rodions Kurucs,/players/k/kurucro01.html,SF,6-9,228,"February 5, 1998",2
12,HOU,2021,Anthony Lamb,/players/l/lamban01.html,SF,6-6,227,"January 20, 1998",R
13,HOU,2021,Kenyon Martin Jr.,/players/m/martike04.html,SF,6-6,215,"January 6, 2001",R
14,HOU,2021,Ben McLemore,/players/m/mclembe01.html,SG,6-3,195,"February 11, 1993",7
15,HOU,2021,David Nwaba,/players/n/nwabada01.html,SF,6-5,219,"January 14, 1993",4
16,HOU,2021,Victor Oladipo,/players/o/oladivi01.html,SG,6-4,213,"May 4, 1992",7
17,HOU,2021,Cameron Oliver,/players/o/oliveca01.html,SF,6-8,239,"July 11, 1996",R
18,HOU,2021,Kelly Olynyk,/players/o/olynyke01.html,PF,6-11,240,"April 19, 1991",7
19,HOU,2021,Justin Patton,/players/p/pattoju01.html,C,6-11,241,"June 14, 1997",3
20,HOU,2021,Kevin Porter Jr.,/players/p/porteke02.html,SG,6-4,203,"May 4, 2000",1
21,HOU,2021,Cameron Reynolds,/players/r/reynoca01.html,SF,6-7,225,"February 7, 1995",1
22,HOU,2021,Ray Spalding,/players/s/spaldra01.html,C,6-10,215,"March 11, 1997",1
23,HOU,2021,Jae'Sean Tate,/players/t/tateja01.html,SF,6-4,230,"October 28, 1995",R
24,HOU,2021,Brodric Thomas,/players/t/thomabr01.html,SG,6-5,185,"January 28, 1997",R
25,HOU,2021,Khyri Thomas,/players/t/thomakh01.html,SG,6-3,210,"May 8, 1996",2
26,HOU,2021,P.J. Tucker,/players/t/tuckepj01.html,PF,6-5,245,"May 5, 1985",9
27,HOU,2021,John Wall,/players/w/walljo01.html,PG,6-3,210,"September 6, 1990",9
28,HOU,2021,D.J. Wilson,/players/w/wilsodj01.html,PF,6-10,231,"February 19, 1996",3
29,HOU,2021,Christian Wood,/players/w/woodch01.html,C,6-10,214,"September 27, 1995",4
0,IND,2021,Goga Bitadze,/players/b/bitadgo01.html,C,6-11,250,"July 20, 1999",1
1,IND,2021,Brian Bowen,/players/b/bowenbr02.html,SF,6-6,190,"October 2, 1998",1
2,IND,2021,Amida Brimah,/players/b/brimaam01.html,C,6-10,230,"February 11, 1994",R
3,IND,2021,Oshae Brissett,/players/b/brissos01.html,SF,6-7,210,"June 20, 1998",1
4,IND,2021,Malcolm Brogdon,/players/b/brogdma01.html,PG,6-5,229,"December 11, 1992",4
5,IND,2021,Aaron Holiday,/players/h/holidaa01.html,PG,6-0,185,"September 30, 1996",2
6,IND,2021,Justin Holiday,/players/h/holidju01.html,SG,6-6,180,"April 5, 1989",7
7,IND,2021,Jeremy Lamb,/players/l/lambje01.html,SG,6-5,180,"May 30, 1992",8
8,IND,2021,Jalen Lecque,/players/l/lecquja01.html,PG,6-4,185,"June 13, 2000",1
9,IND,2021,Caris LeVert,/players/l/leverca01.html,SG,6-6,205,"August 25, 1994",4
10,IND,2021,Kelan Martin,/players/m/martike03.html,SF,6-5,230,"August 3, 1995",1
11,IND,2021,T.J. McConnell,/players/m/mccontj01.html,PG,6-1,190,"March 25, 1992",5
12,IND,2021,Doug McDermott,/players/m/mcderdo01.html,PF,6-7,225,"January 3, 1992",6
13,IND,2021,Victor Oladipo,/players/o/oladivi01.html,SG,6-4,213,"May 4, 1992",7
14,IND,2021,Domantas Sabonis,/players/s/sabondo01.html,PF,6-11,240,"May 3, 1996",4
15,IND,2021,JaKarr Sampson,/players/s/sampsja02.html,PF,6-7,214,"March 20, 1993",5
16,IND,2021,Cassius Stanley,/players/s/stanlca01.html,SG,6-5,190,"August 18, 1999",R
17,IND,2021,Edmond Sumner,/players/s/sumneed01.html,SG,6-4,196,"December 31, 1995",3
18,IND,2021,Myles Turner,/players/t/turnemy01.html,C,6-11,250,"March 24, 1996",5
19,IND,2021,T.J. Warren,/players/w/warretj01.html,SF,6-8,220,"September 5, 1993",6
0,LAC,2021,Nicolas Batum,/players/b/batumni01.html,SF,6-8,230,"December 14, 1988",12
1,LAC,2021,Patrick Beverley,/players/b/beverpa01.html,PG,6-1,180,"July 12, 1988",8
2,LAC,2021,Amir Coffey,/players/c/coffeam01.html,SG,6-7,210,"June 17, 1997",1
3,LAC,2021,DeMarcus Cousins,/players/c/couside01.html,C,6-10,270,"August 13, 1990",9
4,LAC,2021,Yogi Ferrell,/players/f/ferreyo01.html,PG,6-0,178,"May 9, 1993",4
5,LAC,2021,Malik Fitts,/players/f/fittsma01.html,PF,6-8,230,"July 4, 1997",R
6,LAC,2021,Paul George,/players/g/georgpa01.html,SF,6-8,220,"May 2, 1990",10
7,LAC,2021,Serge Ibaka,/players/i/ibakase01.html,C,6-10,235,"September 18, 1989",11
8,LAC,2021,Reggie Jackson,/players/j/jacksre01.html,SG,6-2,208,"April 16, 1990",9
9,LAC,2021,Mfiondu Kabengele,/players/k/kabenmf01.html,PF,6-9,250,"August 14, 1997",1
10,LAC,2021,Luke Kennard,/players/k/kennalu01.html,SG,6-5,206,"June 24, 1996",3
11,LAC,2021,Kawhi Leonard,/players/l/leonaka01.html,SF,6-7,225,"June 29, 1991",9
12,LAC,2021,Terance Mann,/players/m/mannte01.html,SG,6-5,215,"October 18, 1996",1
13,LAC,2021,Marcus Morris,/players/m/morrima03.html,PF,6-8,218,"September 2, 1989",9
14,LAC,2021,Daniel Oturu,/players/o/oturuda01.html,C,6-8,240,"September 20, 1999",R
15,LAC,2021,Patrick Patterson,/players/p/pattepa01.html,PF,6-8,235,"March 14, 1989",10
16,LAC,2021,Rajon Rondo,/players/r/rondora01.html,PG,6-1,180,"February 22, 1986",14
17,LAC,2021,Jay Scrubb,/players/s/scrubja01.html,SG,6-5,220,"September 1, 2000",R
18,LAC,2021,Lou Williams,/players/w/willilo02.html,PG,6-1,175,"October 27, 1986",15
19,LAC,2021,Ivica Zubac,/players/z/zubaciv01.html,C,7-0,240,"March 18, 1997",4
0,LAL,2021,Kostas Antetokounmpo,/players/a/antetko01.html,PF,6-10,200,"November 20, 1997",2
1,LAL,2021,Devontae Cacok,/players/c/cacokde01.html,PF,6-7,240,"October 8, 1996",1
2,LAL,2021,Kentavious Caldwell-Pope,/players/c/caldwke01.html,SG,6-5,204,"February 18, 1993",7
3,LAL,2021,Alex Caruso,/players/c/carusal01.html,PG,6-4,186,"February 28, 1994",3
4,LAL,2021,Quinn Cook,/players/c/cookqu01.html,PG,6-1,180,"March 23, 1993",4
5,LAL,2021,Anthony Davis,/players/d/davisan02.html,PF,6-10,253,"March 11, 1993",8
6,LAL,2021,Andre Drummond,/players/d/drumman01.html,C,6-10,279,"August 10, 1993",8
7,LAL,2021,Jared Dudley,/players/d/dudleja01.html,PF,6-6,237,"July 10, 1985",13
8,LAL,2021,Marc Gasol,/players/g/gasolma01.html,C,6-11,255,"January 29, 1985",12
9,LAL,2021,Montrezl Harrell,/players/h/harremo01.html,C,6-7,240,"January 26, 1994",5
10,LAL,2021,Talen Horton-Tucker,/players/h/hortota01.html,SG,6-4,234,"November 25, 2000",1
11,LAL,2021,LeBron James,/players/j/jamesle01.html,PG,6-9,250,"December 30, 1984",17
12,LAL,2021,Damian Jones,/players/j/jonesda03.html,C,6-11,245,"June 30, 1995",4
13,LAL,2021,Kyle Kuzma,/players/k/kuzmaky01.html,SF,6-9,221,"July 24, 1995",3
14,LAL,2021,Wesley Matthews,/players/m/matthwe02.html,SG,6-4,220,"October 14, 1986",11
15,LAL,2021,Alfonzo McKinnie,/players/m/mckinal01.html,SF,6-7,215,"September 17, 1992",3
16,LAL,2021,Ben McLemore,/players/m/mclembe01.html,SG,6-3,195,"February 11, 1993",7
17,LAL,2021,Markieff Morris,/players/m/morrima02.html,PF,6-9,245,"September 2, 1989",9
18,LAL,2021,Dennis Schröder,/players/s/schrode01.html,SG,6-3,172,"September 15, 1993",7
0,MEM,2021,Grayson Allen,/players/a/allengr01.html,SG,6-4,198,"October 8, 1995",2
1,MEM,2021,Kyle Anderson,/players/a/anderky01.html,PF,6-9,230,"September 20, 1993",6
2,MEM,2021,Desmond Bane,/players/b/banede01.html,SG,6-5,215,"June 25, 1998",R
3,MEM,2021,Dillon Brooks,/players/b/brookdi01.html,SF,6-7,225,"January 22, 1996",3
4,MEM,2021,Brandon Clarke,/players/c/clarkbr01.html,PF,6-8,215,"September 19, 1996",1
5,MEM,2021,Gorgui Dieng,/players/d/dienggo01.html,C,6-10,252,"January 18, 1990",7
6,MEM,2021,Tim Frazier,/players/f/fraziti01.html,PG,6-0,170,"November 1, 1990",6
7,MEM,2021,Jaren Jackson Jr.,/players/j/jacksja02.html,C,6-11,242,"September 15, 1999",2
8,MEM,2021,Tyus Jones,/players/j/jonesty01.html,PG,6-0,196,"May 10, 1996",5
9,MEM,2021,John Konchar,/players/k/konchjo01.html,SG,6-5,210,"March 22, 1996",1
10,MEM,2021,Sean McDermott,/players/m/mcderse01.html,SF,6-6,195,"November 3, 1996",R
11,MEM,2021,De'Anthony Melton,/players/m/meltode01.html,PG,6-2,200,"May 28, 1998",2
12,MEM,2021,Ja Morant,/players/m/moranja01.html,PG,6-3,174,"August 10, 1999",1
13,MEM,2021,Jontay Porter,/players/p/portejo01.html,PF,6-11,240,"November 15, 1999",R
14,MEM,2021,Killian Tillie,/players/t/tilliki02.html,C,6-9,220,"March 5, 1998",R
15,MEM,2021,Xavier Tillman Sr.,/players/t/tillmxa01.html,PF,6-8,245,"January 12, 1999",R
16,MEM,2021,Jonas Valančiūnas,/players/v/valanjo01.html,C,6-11,265,"May 6, 1992",8
17,MEM,2021,Justise Winslow,/players/w/winslju01.html,SF,6-6,222,"March 26, 1996",5
0,MIA,2021,Precious Achiuwa,/players/a/achiupr01.html,PF,6-8,225,"September 19, 1999",R
1,MIA,2021,Bam Adebayo,/players/a/adebaba01.html,C,6-9,255,"July 18, 1997",3
2,MIA,2021,Trevor Ariza,/players/a/arizatr01.html,SF,6-8,215,"June 30, 1985",16
3,MIA,2021,Nemanja Bjelica,/players/b/bjeline01.html,PF,6-10,234,"May 9, 1988",5
4,MIA,2021,Avery Bradley,/players/b/bradlav01.html,SG,6-3,180,"November 26, 1990",10
5,MIA,2021,Jimmy Butler,/players/b/butleji01.html,SF,6-7,230,"September 14, 1989",9
6,MIA,2021,Dewayne Dedmon,/players/d/dedmode01.html,C,7-0,245,"August 12, 1989",7
7,MIA,2021,Goran Dragić,/players/d/dragigo01.html,PG,6-3,190,"May 6, 1986",12
8,MIA,2021,Maurice Harkless,/players/h/harklma01.html,SF,6-7,220,"May 11, 1993",8
9,MIA,2021,Udonis Haslem,/players/h/hasleud01.html,C,6-8,235,"June 9, 1980",17
10,MIA,2021,Tyler Herro,/players/h/herroty01.html,SG,6-5,195,"January 20, 2000",1
11,MIA,2021,Andre Iguodala,/players/i/iguodan01.html,SF,6-6,215,"January 28, 1984",16
12,MIA,2021,Meyers Leonard,/players/l/leoname01.html,C,7-0,260,"February 27, 1992",8
13,MIA,2021,Kendrick Nunn,/players/n/nunnke01.html,PG,6-2,190,"August 3, 1995",1
14,MIA,2021,KZ Okpala,/players/o/okpalkz01.html,PF,6-8,215,"April 28, 1999",1
15,MIA,2021,Victor Oladipo,/players/o/oladivi01.html,SG,6-4,213,"May 4, 1992",7
16,MIA,2021,Kelly Olynyk,/players/o/olynyke01.html,C,6-11,240,"April 19, 1991",7
17,MIA,2021,Duncan Robinson,/players/r/robindu01.html,SF,6-7,215,"April 22, 1994",2
18,MIA,2021,Chris Silva,/players/s/silvach01.html,PF,6-8,234,"September 19, 1996",1
19,MIA,2021,Max Strus,/players/s/strusma01.html,SF,6-5,215,"March 28, 1996",1
20,MIA,2021,Gabe Vincent,/players/v/vincega01.html,PG,6-3,195,"June 14, 1996",1
0,MIL,2021,Jaylen Adams,/players/a/adamsja01.html,PG,6-0,225,"May 4, 1996",2
1,MIL,2021,Giannis Antetokounmpo,/players/a/antetgi01.html,PF,7-0,242,"December 6, 1994",7
2,MIL,2021,Thanasis Antetokounmpo,/players/a/antetth01.html,SF,6-6,219,"July 18, 1992",2
3,MIL,2021,D.J. Augustin,/players/a/augusdj01.html,PG,5-11,183,"November 10, 1987",12
4,MIL,2021,Elijah Bryant,/players/b/bryanel01.html,SG,6-5,210,"April 19, 1995",R
5,MIL,2021,Pat Connaughton,/players/c/connapa01.html,SG,6-5,209,"January 6, 1993",5
6,MIL,2021,Torrey Craig,/players/c/craigto01.html,SF,6-7,221,"December 19, 1990",3
7,MIL,2021,Mamadi Diakite,/players/d/diakima01.html,PF,6-9,228,"January 21, 1997",R
8,MIL,2021,Donte DiVincenzo,/players/d/divindo01.html,SG,6-4,203,"January 31, 1997",2
9,MIL,2021,Bryn Forbes,/players/f/forbebr01.html,SG,6-2,205,"July 23, 1993",4
10,MIL,2021,Jrue Holiday,/players/h/holidjr01.html,PG,6-3,205,"June 12, 1990",11
11,MIL,2021,Justin Jackson,/players/j/jacksju01.html,SF,6-8,220,"March 28, 1995",3
12,MIL,2021,Rodions Kurucs,/players/k/kurucro01.html,SF,6-9,228,"February 5, 1998",2
13,MIL,2021,Brook Lopez,/players/l/lopezbr01.html,C,7-0,282,"April 1, 1988",12
14,MIL,2021,Sam Merrill,/players/m/merrisa01.html,SG,6-4,205,"May 15, 1996",R
15,MIL,2021,Khris Middleton,/players/m/middlkh01.html,SF,6-7,222,"August 12, 1991",8
16,MIL,2021,Jordan Nwora,/players/n/nworajo01.html,SF,6-8,225,"September 9, 1998",R
17,MIL,2021,Bobby Portis,/players/p/portibo01.html,C,6-10,250,"February 10, 1995",5
18,MIL,2021,Jeff Teague,/players/t/teaguje01.html,PG,6-3,195,"June 10, 1988",11
19,MIL,2021,Axel Toupane,/players/t/toupaax01.html,SF,6-7,197,"July 23, 1992",2
20,MIL,2021,P.J. Tucker,/players/t/tuckepj01.html,PF,6-5,245,"May 5, 1985",9
21,MIL,2021,D.J. Wilson,/players/w/wilsodj01.html,PF,6-10,231,"February 19, 1996",3
0,MIN,2021,Malik Beasley,/players/b/beaslma01.html,SG,6-4,187,"November 26, 1996",4
1,MIN,2021,Jarrett Culver,/players/c/culveja01.html,SG,6-6,195,"February 20, 1999",1
2,MIN,2021,Ed Davis,/players/d/davised01.html,C,6-9,218,"June 5, 1989",10
3,MIN,2021,Anthony Edwards,/players/e/edwaran01.html,SG,6-4,225,"August 5, 2001",R
4,MIN,2021,Ashton Hagans,/players/h/haganas01.html,PG,6-3,190,"July 8, 1999",R
5,MIN,2021,Juancho Hernangómez,/players/h/hernaju01.html,PF,6-9,214,"September 28, 1995",4
6,MIN,2021,Jake Layman,/players/l/laymaja01.html,SF,6-8,209,"March 7, 1994",4
7,MIN,2021,Jaden McDaniels,/players/m/mcdanja02.html,PF,6-9,185,"September 29, 2000",R
8,MIN,2021,Jordan McLaughlin,/players/m/mclaujo01.html,PG,5-11,185,"April 9, 1996",1
9,MIN,2021,Jaylen Nowell,/players/n/nowelja01.html,SG,6-4,201,"July 9, 1999",1
10,MIN,2021,Josh Okogie,/players/o/okogijo01.html,SG,6-4,213,"September 1, 1998",2
11,MIN,2021,Naz Reid,/players/r/reidna01.html,C,6-9,264,"August 26, 1999",1
12,MIN,2021,Ricky Rubio,/players/r/rubiori01.html,PG,6-2,190,"October 21, 1990",9
13,MIN,2021,D'Angelo Russell,/players/r/russeda01.html,PG,6-4,193,"February 23, 1996",5
14,MIN,2021,Karl-Anthony Towns,/players/t/townska01.html,C,6-11,248,"November 15, 1995",5
15,MIN,2021,Jarred Vanderbilt,/players/v/vandeja01.html,PF,6-9,214,"April 3, 1999",2
0,NOP,2021,Steven Adams,/players/a/adamsst01.html,C,6-11,265,"July 20, 1993",7
1,NOP,2021,Nickeil Alexander-Walker,/players/a/alexani01.html,SG,6-6,205,"September 2, 1998",1
2,NOP,2021,Lonzo Ball,/players/b/balllo01.html,PG,6-6,190,"October 27, 1997",3
3,NOP,2021,Eric Bledsoe,/players/b/bledser01.html,SG,6-1,214,"December 9, 1989",10
4,NOP,2021,Wenyen Gabriel,/players/g/gabriwe01.html,PF,6-9,205,"March 26, 1997",1
5,NOP,2021,Josh Hart,/players/h/hartjo01.html,SF,6-5,215,"March 6, 1995",3
6,NOP,2021,Jaxson Hayes,/players/h/hayesja02.html,C,6-11,220,"May 23, 2000",1
7,NOP,2021,Willy Hernangómez,/players/h/hernawi01.html,C,6-11,250,"May 27, 1994",4
8,NOP,2021,Brandon Ingram,/players/i/ingrabr01.html,SF,6-8,190,"September 2, 1997",4
9,NOP,2021,Wes Iwundu,/players/i/iwundwe01.html,SF,6-6,195,"December 20, 1994",3
10,NOP,2021,James Johnson,/players/j/johnsja01.html,PF,6-7,240,"February 20, 1987",11
11,NOP,2021,Kira Lewis Jr.,/players/l/lewiski01.html,PG,6-1,170,"April 6, 2001",R
12,NOP,2021,Didi Louzada,/players/l/louzama01.html,SF,6-5,188,"February 7, 1999",R
13,NOP,2021,Will Magnay,/players/m/magnawi01.html,C,6-10,234,"June 10, 1998",R
14,NOP,2021,Naji Marshall,/players/m/marshna01.html,SF,6-7,220,"January 24, 1998",R
15,NOP,2021,Nicolò Melli,/players/m/mellini01.html,PF,6-9,236,"January 26, 1991",1
16,NOP,2021,James Nunnally,/players/n/nunnaja01.html,SF,6-7,208,"July 14, 1990",2
17,NOP,2021,J.J. Redick,/players/r/redicjj01.html,SG,6-3,200,"June 24, 1984",14
18,NOP,2021,Isaiah Thomas,/players/t/thomais02.html,PG,5-9,185,"February 7, 1989",9
19,NOP,2021,Sindarius Thornwell,/players/t/thornsi01.html,SG,6-4,215,"November 15, 1994",3
20,NOP,2021,Zion Williamson,/players/w/willizi01.html,PF,6-6,284,"July 6, 2000",1
0,NYK,2021,RJ Barrett,/players/b/barrerj01.html,SG,6-6,214,"June 14, 2000",1
1,NYK,2021,Ignas Brazdeikis,/players/b/brazdig01.html,SF,6-6,221,"January 8, 1999",1
2,NYK,2021,Reggie Bullock,/players/b/bullore01.html,SF,6-6,205,"March 16, 1991",7
3,NYK,2021,Alec Burks,/players/b/burksal01.html,SG,6-6,214,"July 20, 1991",9
4,NYK,2021,Taj Gibson,/players/g/gibsota01.html,C,6-9,232,"June 24, 1985",11
5,NYK,2021,Jared Harper,/players/h/harpeja01.html,PG,5-10,175,"September 14, 1997",1
6,NYK,2021,Kevin Knox,/players/k/knoxke01.html,SF,6-7,215,"August 11, 1999",2
7,NYK,2021,Nerlens Noel,/players/n/noelne01.html,C,6-11,220,"April 10, 1994",6
8,NYK,2021,Frank Ntilikina,/players/n/ntilila01.html,PG,6-4,200,"July 28, 1998",3
9,NYK,2021,Elfrid Payton,/players/p/paytoel01.html,PG,6-3,195,"February 22, 1994",6
10,NYK,2021,Norvel Pelle,/players/p/pelleno01.html,C,6-10,231,"February 3, 1993",1
11,NYK,2021,Theo Pinson,/players/p/pinsoth01.html,SG,6-5,212,"November 5, 1995",2
12,NYK,2021,Immanuel Quickley,/players/q/quickim01.html,PG,6-3,190,"June 17, 1999",R
13,NYK,2021,Julius Randle,/players/r/randlju01.html,PF,6-8,250,"November 29, 1994",6
14,NYK,2021,Austin Rivers,/players/r/riverau01.html,SG,6-4,200,"August 1, 1992",8
15,NYK,2021,Mitchell Robinson,/players/r/robinmi01.html,C,7-0,240,"April 1, 1998",2
16,NYK,2021,Derrick Rose,/players/r/rosede01.html,PG,6-3,200,"October 4, 1988",11
17,NYK,2021,Dennis Smith Jr.,/players/s/smithde03.html,PG,6-2,205,"November 25, 1997",3
18,NYK,2021,Obi Toppin,/players/t/toppiob01.html,PF,6-9,220,"March 4, 1998",R
0,OKC,2021,Darius Bazley,/players/b/bazleda01.html,PF,6-8,208,"June 12, 2000",1
1,OKC,2021,Tony Bradley,/players/b/bradlto01.html,C,6-10,248,"January 8, 1998",3
2,OKC,2021,Charlie Brown Jr.,/players/b/brownch02.html,SG,6-6,199,"February 2, 1997",1
3,OKC,2021,Moses Brown,/players/b/brownmo01.html,C,7-2,245,"October 13, 1999",1
4,OKC,2021,Gabriel Deck,/players/d/deckga01.html,PF,6-8,232,"February 8, 1995",R
5,OKC,2021,Hamidou Diallo,/players/d/diallha01.html,SG,6-5,202,"July 31, 1998",2
6,OKC,2021,Luguentz Dort,/players/d/dortlu01.html,SG,6-3,215,"April 19, 1999",1
7,OKC,2021,Shai Gilgeous-Alexander,/players/g/gilgesh01.html,SG,6-6,180,"July 12, 1998",2
8,OKC,2021,Josh Hall,/players/h/halljo01.html,SF,6-9,190,"October 8, 2000",R
9,OKC,2021,George Hill,/players/h/hillge01.html,PG,6-4,188,"May 4, 1986",12
10,OKC,2021,Jaylen Hoard,/players/h/hoardja01.html,SF,6-8,216,"March 30, 1999",1
11,OKC,2021,Al Horford,/players/h/horfoal01.html,C,6-9,240,"June 3, 1986",13
12,OKC,2021,Justin Jackson,/players/j/jacksju01.html,SF,6-8,220,"March 28, 1995",3
13,OKC,2021,Ty Jerome,/players/j/jeromty01.html,SG,6-5,195,"July 8, 1997",1
14,OKC,2021,Théo Maledon,/players/m/maledth01.html,PG,6-4,175,"June 12, 2001",R
15,OKC,2021,Darius Miller,/players/m/milleda01.html,SF,6-6,225,"March 21, 1990",5
16,OKC,2021,Mike Muscala,/players/m/muscami01.html,C,6-10,240,"July 1, 1991",7
17,OKC,2021,Svi Mykhailiuk,/players/m/mykhasv01.html,SF,6-7,205,"June 10, 1997",2
18,OKC,2021,Aleksej Pokusevski,/players/p/pokusal01.html,PF,7-0,190,"December 26, 2001",R
19,OKC,2021,Justin Robinson,/players/r/robinju01.html,PG,6-1,195,"October 12, 1997",1
20,OKC,2021,Isaiah Roby,/players/r/robyis01.html,PF,6-8,230,"February 3, 1998",1
21,OKC,2021,Kenrich Williams,/players/w/willike04.html,PF,6-6,210,"December 2, 1994",2
0,ORL,2021,Al-Farouq Aminu,/players/a/aminual01.html,PF,6-8,220,"September 21, 1990",10
1,ORL,2021,Cole Anthony,/players/a/anthoco01.html,PG,6-2,185,"May 15, 2000",R
2,ORL,2021,Dwayne Bacon,/players/b/bacondw01.html,SG,6-6,221,"August 30, 1995",3
3,ORL,2021,Mo Bamba,/players/b/bambamo01.html,C,7-0,231,"May 12, 1998",2
4,ORL,2021,Khem Birch,/players/b/birchkh01.html,C,6-9,233,"September 28, 1992",3
5,ORL,2021,Jordan Bone,/players/b/bonejo01.html,PG,6-2,180,"November 5, 1997",1
6,ORL,2021,Ignas Brazdeikis,/players/b/brazdig01.html,SF,6-6,221,"January 8, 1999",1
7,ORL,2021,Devin Cannady,/players/c/cannade01.html,PG,6-2,183,"May 21, 1996",R
8,ORL,2021,Wendell Carter Jr.,/players/c/cartewe01.html,C,6-10,270,"April 16, 1999",2
9,ORL,2021,Michael Carter-Williams,/players/c/cartemi01.html,SG,6-5,190,"October 10, 1991",7
10,ORL,2021,Gary Clark,/players/c/clarkga01.html,SF,6-6,225,"November 16, 1994",2
11,ORL,2021,James Ennis III,/players/e/ennisja01.html,SF,6-6,215,"July 1, 1990",6
12,ORL,2021,Evan Fournier,/players/f/fournev01.html,SF,6-7,205,"October 29, 1992",8
13,ORL,2021,Robert Franks,/players/f/frankro01.html,PF,6-7,225,"December 18, 1996",R
14,ORL,2021,Markelle Fultz,/players/f/fultzma01.html,PG,6-3,209,"May 29, 1998",3
15,ORL,2021,Aaron Gordon,/players/g/gordoaa01.html,PF,6-8,235,"September 16, 1995",6
16,ORL,2021,Donta Hall,/players/h/halldo01.html,PF,6-9,232,"August 7, 1997",1
17,ORL,2021,R.J. Hampton,/players/h/hamptrj01.html,SG,6-4,175,"February 7, 2001",R
18,ORL,2021,Gary Harris,/players/h/harriga01.html,SG,6-4,210,"September 14, 1994",6
19,ORL,2021,Karim Mané,/players/m/maneka01.html,PG,6-3,190,"May 16, 2000",R
20,ORL,2021,Frank Mason III,/players/m/masonfr01.html,PG,5-11,190,"April 3, 1994",3
21,ORL,2021,Chuma Okeke,/players/o/okekech01.html,PF,6-6,229,"August 18, 1998",R
22,ORL,2021,Otto Porter Jr.,/players/p/porteot01.html,PF,6-8,198,"June 3, 1993",7
23,ORL,2021,Chasson Randle,/players/r/randlch01.html,PG,6-2,185,"February 5, 1993",3
24,ORL,2021,Terrence Ross,/players/r/rosste01.html,SG,6-6,206,"February 5, 1991",8
25,ORL,2021,Sindarius Thornwell,/players/t/thornsi01.html,SG,6-4,215,"November 15, 1994",3
26,ORL,2021,Nikola Vučević,/players/v/vucevni01.html,C,6-10,260,"October 24, 1990",9
27,ORL,2021,Moritz Wagner,/players/w/wagnemo01.html,C,6-11,245,"April 26, 1997",2
0,PHI,2021,Tony Bradley,/players/b/bradlto01.html,C,6-10,248,"January 8, 1998",3
1,PHI,2021,Ignas Brazdeikis,/players/b/brazdig01.html,SF,6-6,221,"January 8, 1999",1
2,PHI,2021,Gary Clark,/players/c/clarkga01.html,PF,6-6,225,"November 16, 1994",2
3,PHI,2021,Seth Curry,/players/c/curryse01.html,SG,6-2,185,"August 23, 1990",6
4,PHI,2021,Joel Embiid,/players/e/embiijo01.html,C,7-0,280,"March 16, 1994",4
5,PHI,2021,Terrance Ferguson,/players/f/fergute01.html,SG,6-6,190,"May 17, 1998",3
6,PHI,2021,Danny Green,/players/g/greenda02.html,SF,6-6,215,"June 22, 1987",11
7,PHI,2021,Tobias Harris,/players/h/harrito02.html,PF,6-8,226,"July 15, 1992",9
8,PHI,2021,George Hill,/players/h/hillge01.html,PG,6-4,188,"May 4, 1986",12
9,PHI,2021,Dwight Howard,/players/h/howardw01.html,C,6-10,265,"December 8, 1985",16
10,PHI,2021,Isaiah Joe,/players/j/joeis01.html,SG,6-4,165,"July 2, 1999",R
11,PHI,2021,Mason Jones,/players/j/jonesma05.html,SG,6-4,200,"July 21, 1998",R
12,PHI,2021,Furkan Korkmaz,/players/k/korkmfu01.html,SG,6-7,202,"July 24, 1997",3
13,PHI,2021,Dakota Mathias,/players/m/mathida01.html,SG,6-4,200,"July 11, 1995",R
14,PHI,2021,Tyrese Maxey,/players/m/maxeyty01.html,SG,6-2,200,"November 4, 2000",R
15,PHI,2021,Shake Milton,/players/m/miltosh01.html,SG,6-5,205,"September 26, 1996",2
16,PHI,2021,Vincent Poirier,/players/p/poirivi01.html,C,7-0,235,"October 17, 1993",1
17,PHI,2021,Paul Reed,/players/r/reedpa01.html,PF,6-9,210,"June 14, 1999",R
18,PHI,2021,Mike Scott,/players/s/scottmi01.html,PF,6-7,237,"July 16, 1988",8
19,PHI,2021,Ben Simmons,/players/s/simmobe01.html,PG,6-10,240,"July 20, 1996",3
20,PHI,2021,Matisse Thybulle,/players/t/thybuma01.html,SG,6-5,201,"March 4, 1997",1
21,PHI,2021,Anthony Tolliver,/players/t/tollian01.html,PF,6-8,240,"June 1, 1985",12
22,PHI,2021,Rayjon Tucker,/players/t/tuckera01.html,PG,6-3,209,"September 24, 1997",1
0,PHO,2021,Ty-Shon Alexander,/players/a/alexaty01.html,SG,6-3,195,"July 16, 1998",R
1,PHO,2021,Deandre Ayton,/players/a/aytonde01.html,C,6-11,250,"July 23, 1998",2
2,PHO,2021,Devin Booker,/players/b/bookede01.html,SG,6-5,206,"October 30, 1996",5
3,PHO,2021,Mikal Bridges,/players/b/bridgmi01.html,SF,6-6,209,"August 30, 1996",2
4,PHO,2021,Jevon Carter,/players/c/carteje01.html,PG,6-1,200,"September 14, 1995",2
