,team,year,player,page,pos,height,weight,birth_date,years_experience
10,BRK,2020,Kyrie Irving,/players/i/irvinky01.html,PG,6-2,195,"March 23, 1992",8
11,BRK,2020,Tyler Johnson,/players/j/johnsty01.html,SG,6-3,186,"May 7, 1992",5
12,BRK,2020,DeAndre Jordan,/players/j/jordade01.html,C,6-11,265,"July 21, 1988",11
13,BRK,2020,Rodions Kurucs,/players/k/kurucro01.html,PF,6-9,228,"February 5, 1998",1
14,BRK,2020,Caris LeVert,/players/l/leverca01.html,SG,6-6,205,"August 25, 1994",3
15,BRK,2020,Timothé Luwawu-Cabarrot,/players/l/luwawti01.html,SF,6-7,220,"May 9, 1995",3
16,BRK,2020,Jeremiah Martin,/players/m/martije02.html,PG,6-3,185,"June 19, 1996",R
17,BRK,2020,Džanan Musa,/players/m/musadz01.html,SF,6-9,217,"May 8, 1999",1
18,BRK,2020,David Nwaba,/players/n/nwabada01.html,SF,6-5,219,"January 14, 1993",3
19,BRK,2020,Theo Pinson,/players/p/pinsoth01.html,SG,6-5,212,"November 5, 1995",1
20,BRK,2020,Taurean Prince,/players/p/princta02.html,PF,6-7,218,"March 22, 1994",3
21,BRK,2020,Iman Shumpert,/players/s/shumpim01.html,SF,6-5,215,"June 26, 1990",8
22,BRK,2020,Garrett Temple,/players/t/templga01.html,SG,6-5,195,"May 8, 1986",9
23,BRK,2020,Lance Thomas,/players/t/thomala01.html,PF,6-8,240,"April 24, 1988",8
0,CHI,2020,Ryan Arcidiacono,/players/a/arcidry01.html,PG,6-3,195,"March 26, 1994",2
1,CHI,2020,Wendell Carter Jr.,/players/c/cartewe01.html,C,6-10,270,"April 16, 1999",1
2,CHI,2020,Kris Dunn,/players/d/dunnkr01.html,PG,6-3,205,"March 18, 1994",3
3,CHI,2020,Cristiano Felício,/players/f/feliccr01.html,C,6-11,270,"July 7, 1992",4
4,CHI,2020,Daniel Gafford,/players/g/gaffoda01.html,C,6-10,234,"October 1, 1998",R
5,CHI,2020,Shaquille Harrison,/players/h/harrish01.html,SG,6-4,190,"October 6, 1993",2
6,CHI,2020,Chandler Hutchison,/players/h/hutchch01.html,SF,6-6,210,"April 26, 1996",1
7,CHI,2020,Luke Kornet,/players/k/kornelu01.html,C,7-2,250,"July 15, 1995",2
8,CHI,2020,Zach LaVine,/players/l/lavinza01.html,SF,6-5,200,"March 10, 1995",5
9,CHI,2020,Lauri Markkanen,/players/m/markkla01.html,PF,7-0,240,"May 22, 1997",2
10,CHI,2020,Adam Mokoka,/players/m/mokokad01.html,SF,6-4,190,"July 18, 1998",R
11,CHI,2020,Otto Porter Jr.,/players/p/porteot01.html,SF,6-8,198,"June 3, 1993",6
12,CHI,2020,Tomáš Satoranský,/players/s/satorto01.html,SG,6-7,210,"October 30, 1991",3
13,CHI,2020,Max Strus,/players/s/strusma01.html,SF,6-5,215,"March 28, 1996",R
14,CHI,2020,Denzel Valentine,/players/v/valende01.html,SF,6-4,220,"November 16, 1993",2
15,CHI,2020,Coby White,/players/w/whiteco01.html,PG,6-5,195,"February 16, 2000",R
16,CHI,2020,Thaddeus Young,/players/y/youngth01.html,PF,6-8,235,"June 21, 1988",12
0,CHO,2020,Dwayne Bacon,/players/b/bacondw01.html,SG,6-6,221,"August 30, 1995",2
1,CHO,2020,Nicolas Batum,/players/b/batumni01.html,SF,6-8,230,"December 14, 1988",11
2,CHO,2020,Bismack Biyombo,/players/b/biyombi01.html,C,6-8,255,"August 28, 1992",8
3,CHO,2020,Miles Bridges,/players/b/bridgmi02.html,SF,6-6,225,"March 21, 1998",1
4,CHO,2020,Joe Chealey,/players/c/chealjo01.html,PG,6-3,190,"November 1, 1995",1
5,CHO,2020,Devonte' Graham,/players/g/grahade01.html,PG,6-1,195,"February 22, 1995",1
6,CHO,2020,Willy Hernangómez,/players/h/hernawi01.html,C,6-11,250,"May 27, 1994",3
7,CHO,2020,Michael Kidd-Gilchrist,/players/k/kiddgmi01.html,PF,6-6,232,"September 26, 1993",7
8,CHO,2020,Caleb Martin,/players/m/martica02.html,SF,6-5,205,"September 28, 1995",R
9,CHO,2020,Cody Martin,/players/m/martico01.html,SF,6-5,205,"September 28, 1995",R
10,CHO,2020,Jalen McDaniels,/players/m/mcdanja01.html,SF,6-9,205,"January 31, 1998",R
11,CHO,2020,Malik Monk,/players/m/monkma01.html,SG,6-3,200,"February 4, 1998",2
12,CHO,2020,Terry Rozier,/players/r/roziete01.html,PG,6-1,190,"March 17, 1994",4
13,CHO,2020,P.J. Washington,/players/w/washipj01.html,PF,6-7,230,"August 23, 1998",R
14,CHO,2020,Marvin Williams,/players/w/willima02.html,PF,6-8,237,"June 19, 1986",14
15,CHO,2020,Cody Zeller,/players/z/zelleco01.html,C,6-11,240,"October 5, 1992",6
0,CLE,2020,Marques Bolden,/players/b/boldema01.html,C,6-10,249,"April 17, 1998",R
1,CLE,2020,Jordan Clarkson,/players/c/clarkjo01.html,SG,6-4,194,"June 7, 1992",5
2,CLE,2020,Tyler Cook,/players/c/cookty01.html,PF,6-8,255,"September 23, 1997",R
3,CLE,2020,Matthew Dellavedova,/players/d/dellama01.html,PG,6-3,200,"September 8, 1990",6
4,CLE,2020,Andre Drummond,/players/d/drumman01.html,C,6-10,279,"August 10, 1993",7
5,CLE,2020,Dante Exum,/players/e/exumda01.html,SG,6-5,214,"July 13, 1995",4
6,CLE,2020,Darius Garland,/players/g/garlada01.html,SG,6-1,192,"January 26, 2000",R
7,CLE,2020,John Henson,/players/h/hensojo01.html,C,6-9,219,"December 28, 1990",7
8,CLE,2020,Brandon Knight,/players/k/knighbr03.html,SG,6-2,182,"December 2, 1991",7
9,CLE,2020,Kevin Love,/players/l/loveke01.html,PF,6-8,251,"September 7, 1988",11
10,CLE,2020,J.P. Macura,/players/m/macurjp01.html,SG,6-5,203,"June 5, 1995",1
11,CLE,2020,Alfonzo McKinnie,/players/m/mckinal01.html,SF,6-7,215,"September 17, 1992",2
12,CLE,2020,Matt Mooney,/players/m/moonema01.html,SG,6-3,199,"February 7, 1996",R
13,CLE,2020,Larry Nance Jr.,/players/n/nancela02.html,PF,6-7,245,"January 1, 1993",4
14,CLE,2020,Malik Newman,/players/n/newmama01.html,SG,6-3,190,"February 21, 1997",R
15,CLE,2020,Cedi Osman,/players/o/osmande01.html,SF,6-7,230,"April 8, 1995",2
16,CLE,2020,Kevin Porter Jr.,/players/p/porteke02.html,SF,6-4,203,"May 4, 2000",R
17,CLE,2020,Collin Sexton,/players/s/sextoco01.html,PG,6-1,190,"January 4, 1999",1
18,CLE,2020,Tristan Thompson,/players/t/thomptr01.html,PF,6-9,254,"March 13, 1991",8
19,CLE,2020,Dean Wade,/players/w/wadede01.html,PF,6-9,228,"November 20, 1996",R
20,CLE,2020,Ante Žižić,/players/z/zizican01.html,C,6-10,266,"January 4, 1997",2
0,DAL,2020,J.J. Barea,/players/b/bareajo01.html,PG,5-10,180,"June 26, 1984",13
1,DAL,2020,Ryan Broekhoff,/players/b/broekry01.html,SF,6-6,215,"August 23, 1990",1
2,DAL,2020,Jalen Brunson,/players/b/brunsja01.html,PG,6-2,190,"August 31, 1996",1
3,DAL,2020,Trey Burke,/players/b/burketr01.html,PG,6-0,185,"November 12, 1992",6
4,DAL,2020,Willie Cauley-Stein,/players/c/caulewi01.html,C,7-0,240,"August 18, 1993",4
5,DAL,2020,Antonius Cleveland,/players/c/clevean01.html,SG,6-5,195,"February 2, 1994",1
6,DAL,2020,Seth Curry,/players/c/curryse01.html,SG,6-2,185,"August 23, 1990",5
